url,label
courier-journal.com,reliable
couriermail.com.au,reliable
couriernews.com,reliable
courierpress.com,reliable
courier-tribune.com,reliable
courthousenews.com,reliable
courttv.com,reliable
covid19criticalcare.com,unreliable
covidtracking.com,reliable
cp24.com,reliable
cpac.ca,reliable
cpi.org,reliable
cpj.org,reliable
craigdailypress.com,reliable
crainscleveland.com,reliable
crainsdetroit.com,reliable
creation.com,unreliable
creationwiki.org,unreliable
crfb.org,reliable
crikey.com.au,reliable
crimeresearch.org,mixed
crimethinc.com,reliable
crisisgroup.org,reliable
crisismagazine.com,mixed
crooked.com,reliable
crooksandliars.com,reliable
crosscut.com,reliable
crossroadstoday.com,reliable
cruxnow.com,reliable
csglobe.com,unreliable
csis.org,reliable
csmonitor.com,reliable
c-span.org,reliable
c-span.org/series/?washingtonjournal,reliable
ctj.org,reliable
ctmirror.org,reliable
ctpost.com,reliable
ctvnews.ca,reliable
cullmantimes.com,reliable
cumberlink.com,reliable
curiousmindmagazine.com,unreliable
currentaffairs.org,reliable
curvemag.com,reliable
cw33.com,reliable
cw39.com,reliable
dagospia.com,unreliable
daily.jstor.org,reliable
daily49er.com,reliable
dailyadvocate.com,reliable
dailybulletin.com,reliable
dailybusinessreview.com,reliable
dailycaller.com,mixed
dailycamera.com,reliable
daily-chronicle.com,reliable
dailyclimate.org,reliable
dailycommercial.com,reliable
dailycurrant.com,unreliable
dailydot.com,reliable
dailyexpose.co.uk,unreliable
dailygazette.com,reliable
dailygrail.com,mixed
dailyheadlines.net,unreliable
dailyhealthpost.com,unreliable
dailyherald.com,reliable
dailyhive.com,reliable
daily-journal.com,reliable
dailyjournal.net,reliable
dailyjournalonline.com,reliable
dailykos.com,mixed
dailymail.co.uk,unreliable
dailymaverick.co.za,reliable
dailynews.com,reliable
dailynewsbin.com,mixed
dailynorthwestern.com,reliable
dailyo.in,mixed
dailypoliticalnewswire.com,unreliable
dailypost.ng,unreliable
dailypress.com,reliable
dailyprogress.com,reliable
dailyreckoning.com,mixed
dailyrecord.co.uk,reliable
dailyrecord.com,reliable
dailysceptic.org,unreliable
dailysignal.com,reliable
dailysoundandfury.com,mixed
dailystar.co.uk,unreliable
dailystormer.com,unreliable
dailystormer.name,unreliable
daily-sun.com,unreliable
dailysurge.com,unreliable
dailytarheel.com,reliable
dailytelegraph.com.au,mixed
dailytorch.com,reliable
dailywire.com,mixed
dallasnews.com,reliable
dallasvoice.com,reliable
daltondailycitizen.com,reliable
darientimes.com,reliable
darkjournalist.com,unreliable
davidharrisjr.com,unreliable
davidicke.com,unreliable
davidwolfe.com,mixed
dawn.com,reliable
dayton247now.com,reliable
daytondailynews.com,reliable
dcclothesline.com,unreliable
dcdirtylaundry.com,unreliable
dcist.com,reliable
dcreport.org,reliable
de.rt.com,unreliable
deadline.com,reliable
deadspin.com,reliable
deadstate.org,reliable
debka.com,unreliable
debunkingdenialism.com,reliable
deccanchronicle.com,reliable
deccanherald.com,mixed
defconwarningsystem.com,reliable
defenddemocracy.org,reliable
defendingtherepublic.org,unreliable
defensenews.com,reliable
defenseone.com,reliable
defiantamerica.com,unreliable
defund.com,unreliable
delawareonline.com,reliable
delgazette.com,reliable
delo.si,reliable
deltanews.tv,reliable
deltanews.tv/wnbd,reliable
democracy21.org,reliable
democracychronicles.org,reliable
democracyjournal.org,reliable
democracynow.org,reliable
democratandchronicle.com,reliable
democratherald.com,reliable
DemocraticUnderground.com,mixed
democrats.org,unreliable
demos.org,reliable
dennismichaellynch.com,unreliable
dentonrc.com,reliable
denver.cbslocal.com,reliable
denvergazette.com,reliable
denverpost.com,reliable
derstandard.at,reliable
deseretnews.com,reliable
desertsun.com,reliable
deshabhimani.com,mixed
desmogblog.com,reliable
desmoinesregister.com,reliable
detik.com,reliable
detroit.cbslocal.com,reliable
detroitnews.com,reliable
deutschland.de,reliable
diamondandsilkinc.com,unreliable
diepresse.com,reliable
differencebetween.net,reliable
digg.com,reliable
digi24.ro,reliable
digitaljournal.com,reliable
diply.com,mixed
disclose.tv,unreliable
discoverthenetworks.org,unreliable
discovery.org,unreliable
disobedientmedia.com,mixed
dispatch.com,reliable
disrn.com,mixed
dissentmagazine.org,reliable
diversityinc.com,reliable
djhjmedia.com,unreliable
dmagazine.com,reliable
dmlnews.com,mixed
dn.se,reliable
dnj.com,reliable
dnyuz.com,unreliable
doctoroz.com,mixed
doctors4covidethics.org,unreliable
doctorswithoutborders.org,reliable
dominionpost.com,reliable
donaldjtrump.com,unreliable
dothaneagle.com,reliable
downsizinggovernment.org,reliable
downtrend.com,unreliable
dpa-international.com,reliable
draxe.com,mixed
drnorthrup.com,unreliable
drudge.com,mixed
drudgereport.com,mixed
duluthnewstribune.com,reliable
durangoherald.com,reliable
durhamregion.com/clarington-on,reliable
dutchreview.com,reliable
dw.com,reliable
eaglerising.com,unreliable
eagletribune.com,reliable
earth.columbia.edu,reliable
earthfirstjournal.org,mixed
earthjustice.org,reliable
earthpulse.com,unreliable
eastbaytimes.com,reliable
eastidahonews.com,reliable
eatthis.com,reliable
ebar.com,reliable
ecfr.eu,reliable
ecology.news,unreliable
econlib.org,reliable
econofact.org,reliable
economicpolicyjournal.com,reliable
economicshelp.org,reliable
economictimes.indiatimes.com,unreliable
economist.com,reliable
ecowatch.com,reliable
ecuavisa.com,mixed
edmonton.citynews.ca,reliable
edmontonexaminer.com,reliable
edmontonjournal.com,reliable
edmontonsun.com,reliable
edp24.co.uk,reliable
educateinspirechange.org,mixed
educate-yourself.org,unreliable
eff.org,reliable
egbertowillies.com,reliable
egyptianstreets.com,mixed
egypttoday.com,mixed
ejinsight.com,mixed
ekirikas.com,mixed
eldiario.es,reliable
eldiariony.com,reliable
electoral-vote.com,reliable
electronicintifada.net,reliable
electroverse.net,unreliable
elitedaily.com,mixed
elkharttruth.com,reliable
elkodaily.com,reliable
elle.com,reliable
elmundo.es,reliable
elnuevodia.com,reliable
elpais.com,reliable
elpasotimes.com,reliable
eluniverso.com,reliable
eluxemagazine.com,mixed
emerging-europe.com,reliable
emirates247.com,unreliable
empirenews.net,unreliable
empiresports.co,unreliable
emptywheel.net,reliable
en.granma.cu,unreliable
en.hawarnews.com,unreliable
en.mediamass.net,unreliable
en.mehrnews.com,unreliable
en.mercopress.com,mixed
en.metapedia.org,unreliable
en.newsner.com,unreliable
en.protothema.gr,mixed
en.radiovaticana.va,unreliable
en.wikinews.org,reliable
en.yna.co.kr,reliable
en-bref.fr,unreliable
endingthefed.com,unreliable
endoftheamericandream.com,unreliable
endtimeheadlines.org,unreliable
energycitizens.org,mixed
enewscourier.com,reliable
engadget.com,reliable
english.ahram.org.eg,mixed
english.alarabiya.net,mixed
english.almanar.com.lb,mixed
english.cctv.com,mixed
english.chosun.com,mixed
entrepreneur.com,reliable
en-volve.com,unreliable
epi.org,reliable
eppc.org,reliable
erlc.com,mixed
escapeallthesethings.com,unreliable
espn.com,reliable
esquire.com,mixed
eugenics.news,unreliable
euobserver.com,reliable
euractiv.com,reliable
eurasiagroup.net,reliable
eurasiareview.com,reliable
euromaidanpress.com,reliable
euronews.com,reliable
europereloaded.com,unreliable
eutimes.net,mixed
everycrsreport.com,reliable
everydayfeminism.com,mixed
everytown.org,unreliable
evil.news,unreliable
evolutionnews.org,unreliable
evonomics.com,reliable
ew.com,reliable
ewg.org,mixed
express.co.uk,mixed
expressen.se,reliable
extranewsfeed.com,reliable
fabiosa.com,mixed
facebook.com/conservativepoliticstoday,unreliable
facebook.com/news,reliable
facebook.com/womensrightsnews,unreliable
factcheck.org,reliable
factcheckingturkey.com,unreliable
factmyth.com,reliable
factsandlogic.org,mixed
fair.org,reliable
fairborndailyherald.com,reliable
fairobserver.com,reliable
fairus.org,unreliable
fairvote.org,reliable
faithit.com,mixed
faithwire.com,mixed
fakehatecrimes.org,mixed
farleftwatch.com,mixed
fastcompany.com,reliable
fayobserver.com,reliable
faz.net,reliable
fbherald.com,reliable
federalnewsnetwork.com,reliable
federaltimes.com,reliable
fedsoc.org,mixed
fee.org,mixed
fellowshipoftheminds.com,unreliable
feministcurrent.com,mixed
feministfrequency.com,reliable
feministing.com,mixed
ff.org,mixed
ff911truthandunity.org,mixed
fff.org,mixed
ffrf.org,mixed
fifthestate.org,reliable
fightforthefuture.org,reliable
filmingcops.com,mixed
financialexpress.com,mixed
financialpost.com,reliable
firearmsnews.com,reliable
firstcoastnews.com,reliable
firstdraftnews.org,reliable
firstinfreedomdaily.com,mixed
FirstPost.com,reliable
firstthings.com,mixed
fitchratings.com,reliable
fitsnews.com,reliable
fivethirtyeight.com,reliable
fl24.net,mixed
flagandcross.com,unreliable
floridapolitics.com,reliable
focusonthefamily.com,unreliable
focustaiwan.tw,reliable
followthemoney.org,reliable
food.news,unreliable
foodandwaterwatch.org,mixed
foodbabe.com,mixed
foodmatters.com,mixed
foodnavigator.com,reliable
fool.com,reliable
forbes.com,reliable
foreignaffairs.com,reliable
foreignpolicy.com,reliable
foreignpolicyi.org,unreliable
foreignpolicyjournal.com,mixed
foreignpolicynews.org,mixed
foreverconscious.com,unreliable
